Sample,Normal Singleton,Doublet,Dividing,"Angry/""Popcorn""",Cysting,Partial,Empty Image,Date,Triplet
D1_C_30,3,2,0,2,0,4,0,9/21/2024,0
D2_C_30,0,0,0,1,0,0,2,9/21/2024,0
D3_C_30,2,1,0,4,1,3,0,9/21/2024,0
LD1_H_20,0,1,0,8,2,1,2,9/23/2024,0
LD2_H_20,8,1,0,13,4,2,1,9/23/2024,0
LD3_H_20,5,3,0,6,1,4,1,9/23/2024,0
LD1_H_25,1,5,0,9,2,4,1,9/23/2024,0
LD2_H_25,0,3,0,3,2,1,0,9/23/2024,0
LD3_H_25,5,4,0,9,1,6,3,9/23/2024,0
LD1_H_30,3,3,0,19,5,3,5,9/23/2024,0
LD2_H_30,4,6,1,4,2,4,0,9/23/2024,0
LD3_H_30,5,7,1,8,5,6,1,9/23/2024,0
LD1_C_20,4,1,0,1,2,3,1,9/23/2024,0
LD2_C_20,2,3,0,3,0,0,0,9/23/2024,0
LD3_C_20,2,6,0,9,1,3,1,9/23/2024,0
LD1_C_25,0,4,1,3,2,5,2,9/23/2024,0
LD2_C_25,3,10,1,7,5,5,3,9/23/2024,0
LD3_C_25,3,2,1,7,2,3,1,9/23/2024,0
LD1_C_30,9,5,1,13,0,6,2,9/23/2024,0
LD2_C_30,3,2,1,2,2,5,0,9/23/2024,0
LD3_C_30,3,3,0,4,3,5,2,9/23/2024,0
D1_H_20,1,0,0,7,1,2,1,9/23/2024,0
D2_H_20,0,1,1,4,4,3,5,9/23/2024,0
D3_H_20,0,0,0,9,1,5,0,9/23/2024,0
D1_H_25,1,0,0,3,1,1,1,9/23/2024,0
D2_H_25,0,0,1,2,0,0,1,9/23/2024,0
D3_H_25,2,2,0,5,1,1,2,9/23/2024,0
D1_H_30,0,1,0,4,2,1,2,9/23/2024,0
D2_H_30,2,1,1,3,3,2,2,9/23/2024,0
D3_H_30,0,5,0,2,1,1,0,9/23/2024,0
D1_C_20,1,1,0,3,3,1,1,9/23/2024,0
D2_C_20,3,2,2,3,3,4,3,9/23/2024,0
D3_C_20,1,11,2,4,2,3,0,9/23/2024,0
D1_C_25,4,2,0,3,1,2,1,9/23/2024,0
D2_C_25,3,1,0,6,2,6,1,9/23/2024,0
D3_C_25,0,8,0,4,2,1,3,9/23/2024,0
D1_C_30,1,2,0,3,0,3,1,9/23/2024,0
D2_C_30,0,1,0,4,0,3,2,9/23/2024,0
D3_C_30,1,3,0,6,1,3,2,9/23/2024,0
LD1_H_20,2,4,1,11,0,5,0,9/25/2024,0
LD2_H_20,3,9,2,9,6,5,0,9/25/2024,1
LD3_H_20,4,10,2,7,3,5,0,9/25/2024,0
LD1_H_25,5,7,5,15,4,9,4,9/25/2024,0
LD2_H_25,4,16,0,7,7,1,2,9/25/2024,0
LD3_H_25,7,11,2,16,9,4,0,9/25/2024,0
LD1_H_30,5,13,6,25,10,5,3,9/25/2024,0
LD2_H_30,5,17,2,22,6,8,0,9/25/2024,0
LD3_H_30,3,9,0,16,9,6,0,9/25/2024,0
LD1_C_20,1,6,0,6,0,3,1,9/25/2024,0
LD2_C_20,2,4,2,11,2,2,1,9/25/2024,0
LD3_C_20,1,14,3,16,2,4,1,9/25/2024,0
LD1_C_25,1,4,2,5,2,4,1,9/25/2024,0
LD2_C_25,8,14,5,22,8,12,3,9/25/2024,0
LD3_C_25,4,6,1,12,3,2,3,9/25/2024,0
LD1_C_30,6,17,7,28,5,5,1,9/25/2024,0
LD2_C_30,2,9,1,6,1,6,1,9/25/2024,0
LD3_C_30,8,6,2,4,2,8,1,9/25/2024,1
D1_H_20,0,2,1,2,3,3,2,9/25/2024,0
D2_H_20,0,2,0,3,0,2,1,9/25/2024,0
D3_H_20,0,0,0,8,0,0,2,9/25/2024,0
D1_H_25,0,0,0,3,0,3,5,9/25/2024,0
D2_H_25,0,3,0,5,1,2,2,9/25/2024,0
D3_H_25,2,4,1,13,3,6,5,9/25/2024,0
D1_H_30,2,8,0,11,0,6,2,9/25/2024,0
D2_H_30,1,0,1,4,3,0,0,9/25/2024,0
D3_H_30,4,1,2,4,1,3,3,9/25/2024,0
D1_C_20,2,5,2,3,1,7,1,9/25/2024,0
D2_C_20,2,4,3,11,2,3,3,9/25/2024,0
D3_C_20,3,0,3,7,1,5,1,9/25/2024,0
D1_C_25,2,4,4,8,5,5,5,9/25/2024,0
D2_C_25,2,5,2,11,2,4,2,9/25/2024,0
D3_C_25,4,4,2,7,1,1,1,9/25/2024,0
D1_C_30,5,4,3,4,2,2,2,9/25/2024,0
D2_C_30,0,2,0,6,0,1,1,9/25/2024,0
D3_C_30,1,4,5,6,2,5,1,9/25/2024,0
